Item,Price,Date
Queen Pineapple Snackpot 180g,21.99,2020-08-26
Julienne Stir-Fry Mix 435g,32.00,2020-08-26
Israeli Tomatoes 6Pk,21.99,2020-08-26
Country Vegetables 400g,40.00,2020-08-26
Bulk Butternut 1Kg,36.99,2020-08-26
Bulk Swiss Chard Spinach 400g,39.99,2020-08-26
Cocktail Tomatoes 500g,19.99,2020-08-26
Fresh Chives 30g,10.99,2020-08-26
Mediterranean Cucumbers 3Pk,22.99,2020-08-26
Ripe & Ready Avocado,20.99,2020-08-26
Hand Shelled Fresh Peas 80g,27.99,2020-08-26
Queen Pineapple 350g,39.99,2020-08-26
Roasting Vegetables 1.5Kg,69.99,2020-08-26
Baby Spinach 400g,49.99,2020-08-26
Soft Citrus 1.5Kg,47.99,2020-08-26
Washed Red & White Coleslaw 300g,19.99,2020-08-26
Nut & Seed Sprinkles 35g,19.99,2020-08-26
Pick & Mix Queen Pineapple 250g,27.99,2020-08-26
Bulk Oranges 2Kg,34.99,2020-08-26
Baby Sweet Potatoes 700g,17.99,2020-08-26
Hot Green Finger Chillies 50g,10.99,2020-08-26
Julienne Carrots 100g,14.99,2020-08-26
Cooked Beetroot 450g,29.99,2020-08-26
Fresh Thyme 20g,10.99,2020-08-26
Pumpkin Fritters 260g,38.00,2020-08-26
Crisp & Crunchy Stir-Fry Mix 375g,32.00,2020-08-26
Pick & Mix Solo Leaf Crunchita™ Lettuce 180g,22.99,2020-08-26
Bulk Roma Tomatoes 1.5Kg,39.99,2020-08-26
"Butternut, Pumpkin & Sweet Potato Mix 500g",29.99,2020-08-26
Extra Fine Green Beans 150g,26.99,2020-08-26
Bulk Queen Pineapple 600g,64.99,2020-08-26
Kara Orange Sweet Potatoes 1Kg,26.99,2020-08-26
Ripen at Home Forelle Pears 1Kg,24.99,2020-08-26
Greek Salad 285g,44.99,2020-08-26
Crunchita™ Lettuce Head,17.99,2020-08-26
Ripen at Home Pears 1.5Kg,29.99,2020-08-26
Fresh Egg Noodles 250g,22.00,2020-08-26
Beetroot Spirals 80g,14.99,2020-08-26
Carrot & Celery Fingers 200g,18.99,2020-08-26
Papaya & Berry Fruit Salad 315g,39.99,2020-08-26
Bright & Crunchy Stir-Fry Mix 375g,32.00,2020-08-26
Solo Leaf Baby Spinach 80g,19.99,2020-08-26
Carrot Batons 100g,14.99,2020-08-26
Crispy Onion Sprinkle 100g,21.99,2020-08-26
Bella Tomatoes 350g,28.99,2020-08-26
